"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Protestant,,Weekly or more,A few times per month,Never,Never,A few times per week,A few times per month,A few times per week,Every day,Once a year or less,Every day,Not applicable to my religious beliefs,45 - 59,Male,"$10,000 to $24,999",South Atlantic
Protestant,,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,A few times per week,A few times per month,Once a month or less,Once a month or less,Once a year or less,Never,Never,30 - 44,Female,"$50,000 to $74,999",West North Central
None of these,"Grew up Catholic, but do not practice.",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
Jewish,,Never,Never,Never,Never,Every day,Every day,A few times per week,Once a year or less,,Once a year or less,Never,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
None of these,Christian - nondenominational,Less than weekly,A few times per week,Not applicable to my religious beliefs,Never,A few times per week,Once a month or less,Once a year or less,Once a year or less,Not applicable to my religious beliefs,A few times per week,Never,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Protestant,,Weekly or more,,Never,A few times per month,Once a month or less,A few times per week,Every day,Never,Never,Never,Once a year or less,30 - 44,Male,"$50,000 to $74,999",South Atlantic
Protestant,,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,A few times per month,Once a month or less,Once a month or less,Once a month or less,Not applicable to my religious beliefs,Never,Never,45 - 59,Female,Prefer not to answer,Middle Atlantic
Protestant,,Weekly or more,Never,Never,Once a month or less,A few times per month,Never,Once a year or less,Never,Never,Once a month or less,Never,60+,Male,Prefer not to answer,West North Central
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,Prefer not to answer,East South Central
Atheist,,,,,,,,,,,,,30 - 44,Male,"$150,000 to $174,999",West South Central
Atheist,,,,,,,,,,,,,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
Atheist,,,,,,,,,,,,,45 - 59,Female,"$75,000 to $99,999",South Atlantic
Atheist,,,,,,,,,,,,,60+,Male,"$25,000 to $49,999",New England
Protestant,,Weekly or more,A few times per month,Never,Never,Every day,Every day,A few times per month,A few times per month,Never,Never,Never,45 - 59,Male,"$10,000 to $24,999",East South Central
None of these," I am a Christian. I grew up Catholic, but I can no longer associate myself with that religion. ",Never,A few times per week,Never,Never,Once a month or less,Once a month or less,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Roman Catholic,,Weekly or more,Every day,Every day,Never,Once a month or less,Never,Once a month or less,Never,Once a year or less,Every day,Once a year or less,45 - 59,Male,"$25,000 to $49,999",Mountain
Orthodox Christian,,Less than weekly,A few times per month,Never,Never,A few times per week,A few times per week,Once a year or less,Never,Never,Never,Not applicable to my religious beliefs,45 - 59,Female,"$25,000 to $49,999",South Atlantic
Muslim,,Less than weekly,A few times per week,A few times per week,Never,Once a month or less,A few times per week,Once a month or less,Never,A few times per week,Once a month or less,Once a year or less,30 - 44,Male,"$10,000 to $24,999",East South Central
None of these,I don't  have a specific religion.,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,"$75,000 to $99,999",Pacific
Roman Catholic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
None of these,greek catholic,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$25,000 to $49,999",Middle Atlantic
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$125,000 to $149,999",South Atlantic
Roman Catholic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Once a month or less,Once a year or less,Never,Never,Never,Never,Never,60+,Male,"$100,000 to $124,999",New England
Protestant,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Every day,Once a year or less,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Female,"$25,000 to $49,999",East North Central
None of these,Shinto Buddhist,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,30 - 44,Female,"$10,000 to $24,999",Pacific
None of these,Christian,Never,Never,Never,Once a year or less,A few times per month,Once a year or less,Once a year or less,Never,Never,Never,Never,45 - 59,Female,"$10,000 to $24,999",Middle Atlantic
Protestant,,Weekly or more,Every day,,Not applicable to my religious beliefs,Once a month or less,Once a month or less,Never,Never,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,45 - 59,Male,"$100,000 to $124,999",West North Central
Atheist,,,,,,,,,,,,,60+,Male,"$75,000 to $99,999",South Atlantic
Buddhist,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Male,"$10,000 to $24,999",West South Central
Roman Catholic,,Weekly or more,Every day,Never,Never,Every day,Never,A few times per week,Never,Never,Never,Never,60+,Male,"$50,000 to $74,999",West North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Female,"$75,000 to $99,999",Pacific
None of these,I don't feel I have any ,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",Pacific
Roman Catholic,,Less than weekly,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per month,Every day,A few times per month,45 - 59,Female,"$50,000 to $74,999",East North Central
Protestant,,Less than weekly,Once a month or less,Not applicable to my religious beliefs,Never,A few times per month,Never,Never,Never,Not applicable to my religious beliefs,Once a month or less,Never,45 - 59,Female,Prefer not to answer,Middle Atlantic
None of these,Spiritual but not religous,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,30 - 44,Male,"$10,000 to $24,999",Mountain
Protestant,,Weekly or more,Every day,Not applicable to my religious beliefs,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Male,"$10,000 to $24,999",East North Central
Protestant,,Weekly or more,Once a year or less,Not applicable to my religious beliefs,Once a year or less,A few times per month,Once a year or less,Never,Never,Never,Never,Never,30 - 44,Female,"$25,000 to $49,999",West North Central
Atheist,,,,,,,,,,,,,60+,Male,"$100,000 to $124,999",Pacific
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Once a month or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Male,"$50,000 to $74,999",West South Central
Protestant,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,A few times per month,Once a month or less,A few times per month,A few times per month,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,18 - 29,Female,"$0 to $9,999",East North Central
Roman Catholic,,Never,A few times per month,A few times per month,Never,A few times per month,Never,Once a year or less,Once a year or less,Not applicable to my religious beliefs,Every day,Once a year or less,45 - 59,Female,"$25,000 to $49,999",East North Central
Orthodox Christian,,Never,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,Never,Never,Never,Once a year or less,18 - 29,Female,"$10,000 to $24,999",Pacific
Protestant,,Weekly or more,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$125,000 to $149,999",West North Central
None of these,none,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per week,Never,Once a month or less,Not applicable to my religious beliefs,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",West North Central
Muslim,,Less than weekly,Every day,A few times per week,A few times per week,Once a year or less,Every day,A few times per week,Never,Once a month or less,A few times per month,Not applicable to my religious beliefs,18 - 29,Male,"$0 to $9,999",Middle Atlantic
Atheist,,,,,,,,,,,,,30 - 44,Female,Prefer not to answer,Middle Atlantic
Roman Catholic,,Less than weekly,Every day,A few times per month,Every day,Once a month or less,Not applicable to my religious beliefs,A few times per month,Never,Once a year or less,Never,Once a year or less,45 - 59,Female,"$0 to $9,999",Pacific
Jewish,,Less than weekly,Never,Never,Once a year or less,Once a year or less,Once a year or less,Once a month or less,Once a year or less,A few times per month,Never,Never,60+,Male,"$125,000 to $149,999",Pacific
Roman Catholic,,Never,Once a month or less,Never,Once a year or less,Once a month or less,Never,Never,Never,Never,Never,Never,18 - 29,Female,"$0 to $9,999",West South Central
Atheist,,,,,,,,,,,,,30 - 44,Female,"$25,000 to $49,999",East North Central
Roman Catholic,,Less than weekly,Once a month or less,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Once a month or less,Never,Never,Once a year or less,30 - 44,Female,"$0 to $9,999",Mountain
Protestant,,Weekly or more,Every day,Every day,Every day,Every day,Every day,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Every day,30 - 44,Male,"$50,000 to $74,999",West North Central
None of these,Christian,Less than weekly,A few times per week,Never,A few times per month,A few times per month,A few times per month,A few times per week,A few times per week,Never,Never,Never,30 - 44,Female,"$10,000 to $24,999",West South Central
Protestant,,Weekly or more,Once a month or less,Once a year or less,A few times per month,Every day,Once a month or less,Every day,Never,Once a year or less,Every day,Once a year or less,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
None of these,Christian,Less than weekly,Never,Never,Once a month or less,A few times per week,Once a month or less,A few times per month,Once a month or less,Never,Never,Never,45 - 59,Male,"$0 to $9,999",East North Central
Roman Catholic,,Never,A few times per month,Never,Never,Once a year or less,Never,Once a month or less,Never,Never,Never,Never,18 - 29,Female,"$50,000 to $74,999",Mountain
Orthodox Christian,,Less than weekly,Once a year or less,Never,Never,A few times per month,Once a year or less,Once a month or less,Once a year or less,A few times per month,Once a month or less,Once a year or less,18 - 29,Female,"$10,000 to $24,999",Middle Atlantic
None of these,Luthern,Weekly or more,Not applicable to my religious beliefs,A few times per month,A few times per week,A few times per week,A few times per week,A few times per week,Never,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",East North Central
Roman Catholic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Every day,Never,18 - 29,Male,"$10,000 to $24,999",Mountain
None of these,Secular Humanist,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Female,Prefer not to answer,East South Central
